Key: BTCETH coins: BTC, ETH
Key: ETHBTC coins: ETH, BTC
Key: BTCUSDT coins: BTC, USDT
Key: USDTBTC coins: USDT, BTC
Key: BTCBNB coins: BTC, BNB
Key: BNBBTC coins: BNB, BTC
Key: BTCUSDC coins: BTC, USDC
Key: USDCBTC coins: USDC, BTC
Key: BTCXRP coins: BTC, XRP
Key: XRPBTC coins: XRP, BTC
Key: BTCADA coins: BTC, ADA
Key: ADABTC coins: ADA, BTC
Key: BTCDOGE coins: BTC, DOGE
Key: DOGEBTC coins: DOGE, BTC
Key: BTCSTETH coins: BTC, STETH
Key: STETHBTC coins: STETH, BTC
Key: BTCMATIC coins: BTC, MATIC
Key: MATICBTC coins: MATIC, BTC
Key: BTCBUSD coins: BTC, BUSD
Key: BUSDBTC coins: BUSD, BTC
Key: BTCSOL coins: BTC, SOL
Key: SOLBTC coins: SOL, BTC
Key: BTCDOT coins: BTC, DOT
Key: DOTBTC coins: DOT, BTC
Key: BTCLTC coins: BTC, LTC
Key: LTCBTC coins: LTC, BTC
Key: BTCSHIB coins: BTC, SHIB
Key: SHIBBTC coins: SHIB, BTC
Key: BTCTRX coins: BTC, TRX
Key: TRXBTC coins: TRX, BTC
Key: BTCAVAX coins: BTC, AVAX
Key: AVAXBTC coins: AVAX, BTC
Key: BTCDAI coins: BTC, DAI
Key: DAIBTC coins: DAI, BTC
Key: BTCUNI coins: BTC, UNI
Key: UNIBTC coins: UNI, BTC
Key: BTCWBTC coins: BTC, WBTC
Key: WBTCBTC coins: WBTC, BTC
Key: BTCLINK coins: BTC, LINK
Key: LINKBTC coins: LINK, BTC
Key: BTCATOM coins: BTC, ATOM
Key: ATOMBTC coins: ATOM, BTC
Key: BTCLEO coins: BTC, LEO
Key: LEOBTC coins: LEO, BTC
Key: BTCTON coins: BTC, TON
Key: TONBTC coins: TON, BTC
Key: BTCXMR coins: BTC, XMR
Key: XMRBTC coins: XMR, BTC
Key: BTCETC coins: BTC, ETC
Key: ETCBTC coins: ETC, BTC
Key: BTCOKB coins: BTC, OKB
Key: OKBBTC coins: OKB, BTC
Key: BTCBCH coins: BTC, BCH
Key: BCHBTC coins: BCH, BTC
Key: BTCXLM coins: BTC, XLM
Key: XLMBTC coins: XLM, BTC
Key: BTCFIL coins: BTC, FIL
Key: FILBTC coins: FIL, BTC
Key: BTCAPT coins: BTC, APT
Key: APTBTC coins: APT, BTC
Key: BTCTUSD coins: BTC, TUSD
Key: TUSDBTC coins: TUSD, BTC
Key: BTCHBAR coins: BTC, HBAR
Key: HBARBTC coins: HBAR, BTC
Key: BTCQNT coins: BTC, QNT
Key: QNTBTC coins: QNT, BTC
Key: BTCLDO coins: BTC, LDO
Key: LDOBTC coins: LDO, BTC
Key: BTCCRO coins: BTC, CRO
Key: CROBTC coins: CRO, BTC
Key: BTCNEAR coins: BTC, NEAR
Key: NEARBTC coins: NEAR, BTC
Key: BTCVET coins: BTC, VET
Key: VETBTC coins: VET, BTC
Key: BTCARB coins: BTC, ARB
Key: ARBBTC coins: ARB, BTC
Key: BTCAPE coins: BTC, APE
Key: APEBTC coins: APE, BTC
Key: BTCALGO coins: BTC, ALGO
Key: ALGOBTC coins: ALGO, BTC
Key: BTCICP coins: BTC, ICP
Key: ICPBTC coins: ICP, BTC
Key: BTCSTX coins: BTC, STX
Key: STXBTC coins: STX, BTC
Key: BTCFTM coins: BTC, FTM
Key: FTMBTC coins: FTM, BTC
Key: BTCEOS coins: BTC, EOS
Key: EOSBTC coins: EOS, BTC
Key: BTCGRT coins: BTC, GRT
Key: GRTBTC coins: GRT, BTC
Key: BTCSAND coins: BTC, SAND
Key: SANDBTC coins: SAND, BTC
Key: BTCMANA coins: BTC, MANA
Key: MANABTC coins: MANA, BTC
Key: BTCEGLD coins: BTC, EGLD
Key: EGLDBTC coins: EGLD, BTC
Key: BTCFRAX coins: BTC, FRAX
Key: FRAXBTC coins: FRAX, BTC
Key: BTCXTZ coins: BTC, XTZ
Key: XTZBTC coins: XTZ, BTC
